CRUTCHFIELD, William, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000961
CURTIS, Carlton Brandaga, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001007
DANFORD, Lorenzo, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000028
DARRALL, Chester Bidwell, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000062
DAVIS, Alexander Mathews, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000091
DAVIS, Henry Gassaway, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000103
DAVIS, John James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000119
DAWES, Henry Laurens, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000148
DE WITT, David Miller, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000285
DENNIS, George Robertson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000242
DOBBINS, Samuel Atkinson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000383
DONNAN, William G., http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000413
DORSEY, Stephen Wallace, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000441
DUELL, Rodolphus Holland, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000513
DUNNELL, Mark Hill, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000555
DURHAM, Milton Jameson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000572
EAMES, Benjamin Tucker, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000005
EATON, William Wallace, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000028
EDEN, John Rice, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000042
EDMUNDS, George Franklin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000056
ELDREDGE, Charles Augustus, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000103
ELKINS, Stephen Benton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000110
ELLIOTT, Robert Brown, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000128
FARWELL, Charles Benjamin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000037
FENTON, Reuben Eaton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000077
FERRY, Orris Sanford, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000094
FERRY, Thomas White, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000095
FIELD, Moses Whelock, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000105
FINCK, William Edward, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000118
FLANAGAN, James Winright, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000186
FORT, Greenbury Lafayette, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000288
FOSTER, Charles, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000299
FOSTER, Wilder De Ayr, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000315
FREEMAN, James Crawford, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000362
FRELINGHUYSEN, Frederick Theodore, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000369
FRYE, William Pierce, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000398
GARFIELD, James Abram, http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000063
GIDDINGS, De Witt Clinton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000166
GILBERT, Abijah, http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000171
GLOVER, John Montgomery, http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000245
GOLDTHWAITE, George, http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000266
GOOCH, Daniel Wheelwright, http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000274
GORDON, John Brown, http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000313
GUNCKEL, Lewis B., http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000523
GUNTER, Thomas Montague, http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000527
HAGANS, John Marshall, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000011
HAGER, John Sharpenstein, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000016
HAILEY, John, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000023
HALE, Eugene, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000029
HALE, Robert Safford, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000037
HAMILTON, Morgan Calvin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000115
HAMILTON, Robert, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000117
HAMILTON, William Thomas, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000118
HAMLIN, Hannibal, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000121
HANCOCK, John, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000150
HARMER, Alfred Crout, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000215
HARRIS, Benjamin Winslow, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000233
HARRIS, Henry Richard, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000239
HARRIS, John Thomas, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000247
HARRISON, Horace Harrison, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000271
HARVEY, James Madison, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000307
HATCHER, Robert Anthony, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000341
HATHORN, Henry Harrison, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000347
HAVENS, Harrison Eugene, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000357
HAWLEY, John Baldwin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000376
HAWLEY, Joseph Roswell, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000377
HAYS, Charles, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000402
HAZELTON, Gerry Whiting, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000419
HAZELTON, John Wright, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000420
HENDEE, George Whitman, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000474
HEREFORD, Frank, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000527
HERNDON, William Smith, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000535
HERSEY, Samuel Freeman, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000545
HITCHCOCK, Phineas Warren, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000648
HOAR, Ebenezer Rockwood, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000653
HOAR, George Frisbie, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000654
HODGES, Asa, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000671
HOLMAN, William Steele, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000732
HOOPER, Samuel, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000765
HOSKINS, George Gilbert, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000801
HOUGHTON, Sherman Otis, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000815
HOWE, Albert Richards, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000850
HOWE, Timothy Otis, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000856
HUBBELL, Jay Abel, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000894
HUNTER, Morton Craig, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000985
HUNTON, Eppa, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000999
HURLBUT, Stephen Augustus, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001003
HYDE, Ira Barnes, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001023
HYNES, William Joseph, http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001027
INGALLS, John James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000012
JEWETT, Hugh Judge, http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000105
JOHNSTON, John Warfield, http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000191
JONES, John Percival, http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000237
KASSON, John Adam, http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000018
KELLEY, William Darrah, http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000062
KELLOGG, Stephen Wright, http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000067
KELLY, James Kerr, http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000074
KENDALL, Charles West, http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000090
KILLINGER, John Weinland, http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000179
KNAPP, Robert McCarty, http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000281
LAMAR, Lucius Quintus Cincinnatus, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000030
LAMISON, Charles Nelson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000039
LAMPORT, William Henry, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000042
LANSING, William Esselstyne, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000088
LAWRENCE, Effingham, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000132
LAWRENCE, William, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000140
LAWSON, John Daniel, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000144
LEACH, James Madison, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000170
LEWIS, Barbour, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000271
LEWIS, John Francis, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000285
LOFLAND, James Rush, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000398
LOGAN, John Alexander, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000403
LOUGHRIDGE, William, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000451
LOWE, David Perley, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000473
LOWNDES, Lloyd, Jr., http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000481
LUTTRELL, John King, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000522
LYNCH, John Roy, http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000533
MacDOUGALL, Clinton Dugald, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000007
MAGEE, John Alexander, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000048
MAGINNIS, Martin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000050
MARSHALL, Samuel Scott, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000160
MARTIN, James Stewart, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000184
MAYNARD, Horace, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000284
McCORMICK, Richard Cunningham, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000371
McCRARY, George Washington, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000379
McCREERY, Thomas Clay, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000385
McDILL, Alexander Stuart, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000406
McDILL, James Wilson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000407
McFADDEN, Obadiah Benton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000435
McJUNKIN, Ebenezer, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000487
McKEE, George Colin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000494
McLEAN, William Pinkney, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000553
McNULTA, John, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000587
MELLISH, David Batcheller, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000637
MERRIAM, Clinton Levi, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000653
MERRIMON, Augustus Summerfield, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000659
MILLIKEN, Charles William, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000768
MILLS, Roger Quarles, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000777
MITCHELL, Alexander, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000802
MITCHELL, John Hipple, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000818
MONROE, James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000857
MOORE, William Sutton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000925
MOREY, Frank, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000942
MORRILL, Justin Smith, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000969
MORRILL, Lot Myrick, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000970
MORRISON, William Ralls, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001000
MORTON, Oliver Hazard Perry Throck, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001020
MYERS, Leonard, http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001131
NEAL, Lawrence Talbot, http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000014
NEGLEY, James Scott, http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000024
NESMITH, James Willis, http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000050
NIBLACK, William Ellis, http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000083
NILES, Jason, http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000107
NORWOOD, Thomas Manson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000160
NUNN, David Alexander, http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000170
O'BRIEN, William James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000017
O'NEILL, Charles, http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000093
OGLESBY, Richard James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000048
ORR, Jackson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000103
ORTH, Godlove Stein, http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000106
PACKARD, Jasper, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000004
PACKER, John Black, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000008
PAGE, Horace Francis, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000017
PARKER, Hosea Washington, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000057
PARKER, Isaac Charles, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000059
PARSONS, Richard Chappel, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000089
PATTERSON, John James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000123
PEASE, Henry Roberts, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000172
PELHAM, Charles, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000192
PENDLETON, James Monroe, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000204
PERRY, Eli, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000242
PHELPS, William Walter, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000302
PHILLIPS, William Addison, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000315
PIERCE, Henry Lillie, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000335
PIKE, Austin Franklin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000345
PLATT, James Henry, Jr., http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000380
PLATT, Thomas Collier, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000383
POLAND, Luke Potter, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000406
POTTER, Clarkson Nott, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000461
PRATT, Daniel Darwin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000497
PRATT, Henry Otis, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000501
PURMAN, William James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000572
RAINEY, Joseph Hayne, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000016
RAMSEY, Alexander, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000026
RANDALL, Samuel Jackson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000039
RANSIER, Alonzo Jacob, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000060
RANSOM, Matt Whitaker, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000062
RAPIER, James Thomas, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000064
RAWLS, Morgan, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000074
RAY, William Henry, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000081
READ, William Brown, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000094
RICE, John Blake, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000200
RICHMOND, Hiram Lawton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000233
ROBBINS, William McKendree, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000302
ROBERTS, Ellis Henry, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000310
ROBERTS, William Randall, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000316
ROBERTSON, Thomas James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000327
ROBINSON, James Carroll, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000336
ROBINSON, James Wallace, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000340
ROSS, Sobieski, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000454
RUSK, Jeremiah McLain, http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000517
SARGENT, Aaron Augustus, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000065
SAULSBURY, Eli, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000072
SAWYER, Philetus, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000091
SAYLER, Henry Benton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000100
SAYLER, Milton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000101
SCHELL, Richard, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000114
SCHUMAKER, John Godfrey, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000147
SCHURZ, Carl, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000151
SCOFIELD, Glenni William, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000164
SCOTT, John, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000177
